OID_,FOD_ID,FPA_ID,SOURCE_SYS,SOURCE_S_1,NWCG_REPOR,NWCG_REP_1,NWCG_REP_2,SOURCE_REP,SOURCE_R_1,LOCAL_FIRE,LOCAL_INCI,FIRE_CODE,FIRE_NAME,ICS_209_IN,ICS_209_NA,MTBS_ID,MTBS_FIRE_,COMPLEX_NA,FIRE_YEAR,DISCOVERY_,DISCOVERY1,DISCOVER_1,STAT_CAUSE,STAT_CAU_1,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESC,STATE,COUNTY,FIPS_CODE,FIPS_NAME
586,201100522,W-626510,FED,DOI-WFMI,BIA,USOKOMA,Okmulgee Field Office,OKOMA,Okmulgee Field Office,109, ,GD93,OAK, , ,OK3597209656420110829,OAK, ,2011,8/29/2011 0:00:00,241,1206,11.000000000000000,Powerline,9/3/2011 0:00:00,246,1500,1346.000000000000000,F,35.971899999999998,-96.563599999999994,2.000000000000000,BIA,OK, , , 
587,201100523,W-627029,FED,DOI-WFMI,BIA,USOKOMA,Okmulgee Field Office,OKOMA,Okmulgee Field Office,110, ,GEP9,THREE HORSES,OK-OMA-011110,Three Horses, , , ,2011,9/4/2011 0:00:00,247,1627,7.000000000000000,Arson,9/17/2011 0:00:00,260,1200,659.000000000000000,E,35.402500000000003,-96.141900000000007,2.000000000000000,BIA,OK, , , 
588,201100532,W-618198,FED,DOI-WFMI,BIA,USOKOMA,Okmulgee Field Office,OKOMA,Okmulgee Field Office,1000, ,F0FP,EVAN WILLIAMS, , , , , ,2011,1/29/2011 0:00:00,29,1300,5.000000000000000,Debris Burning,1/30/2011 0:00:00,30,0130,2014.000000000000000,F,36.071399999999997,-96.450500000000005,8.000000000000000,PRIVATE,OK, , , 
589,20020182,FS-1493347,FED,FS-FIRESTAT,FS,USMOMTF,Mark Twain National Forest,0905,Mark Twain National Forest,11, ,F0R7,CONNER SPRINGS,MO-MTF-000011,Conner Spring,MO3667809121320110219,CONNERSPRING, ,2011,2/19/2011 0:00:00,50,2005,7.000000000000000,Arson,2/20/2011 0:00:00,51,1630,587.000000000000000,E,36.679444439999997,-91.224166670000002,5.000000000000000,USFS,MO, , , 
590,20020191,FS-1493375,FED,FS-FIRESTAT,FS,USMOMTF,Mark Twain National Forest,0905,Mark Twain National Forest,17, ,F0SQ,BUCKHART SPRINGS,MO-MTF-,Buck Hart,MO3705909137220110220,BUCKHART, ,2011,2/20/2011 0:00:00,51,1300,7.000000000000000,Arson,2/20/2011 0:00:00,51,2330,624.000000000000000,E,37.047222220000002,-91.383055560000003,5.000000000000000,USFS,MO, , , 
591,20020213,FS-1493727,FED,FS-FIRESTAT,FS,USMOMTF,Mark Twain National Forest,0905,Mark Twain National Forest,39, ,F1P6,LOST 40,MO-MTF-000039,LOST 40,MO3658809283220110321,LOST40, ,2011,3/20/2011 0:00:00,79,1535,9.000000000000000,Miscellaneous,3/20/2011 0:00:00,79,2350,668.000000000000000,E,36.577500000000001,-92.827500000000001,5.000000000000000,USFS,MO, , , 
592,20021497,FS-1497082,FED,FS-FIRESTAT,FS,USMTLCF,Lewis & Clark National Forest,0115,Lewis & Clark National Forest,11, ,GCW8,ELK PARK,MT-LCF-001056,Elk Park, , , ,2011,8/25/2011 0:00:00,237,1658,1.000000000000000,Lightning,9/1/2011 0:00:00,244,1800,600.000000000000000,E,46.827222220000003,-111.065555560000007,5.000000000000000,USFS,MT, , , 
593,20021503,FS-1497180,FED,FS-FIRESTAT,FS,USMTLCF,Lewis & Clark National Forest,0115,Lewis & Clark National Forest,17, ,GE6Q,TAYLOR HILLS,MT-LCF-001065,Taylor Hills, , , ,2011,9/2/2011 0:00:00,245,1756,1.000000000000000,Lightning,11/1/2011 0:00:00,305,1225,819.000000000000000,E,46.987499999999997,-111.024722220000001,5.000000000000000,USFS,MT, , , 
594,20021530,FS-1502469,FED,FS-FIRESTAT,FS,USMTLNF,Lolo National Forest,0116,Lolo National Forest,144,32,GB1A,WEST RIVERSIDE,MT-SWS-000056,West Riverside,MT4671611388820110822,WESTRIVERSIDE, ,2011,8/22/2011 0:00:00,234,1810,7.000000000000000,Arson,9/15/2011 0:00:00,258,1700,3800.000000000000000,F,46.716111110000000,-113.888055559999998,5.000000000000000,USFS,MT, , , 
595,20022891,FS-1501800,FED,FS-FIRESTAT,FS,USORCGF,Columbia River Gorge National Scenic Area,0622,Columbia River Gorge National Scenic Area,17, ,GDH4,WISHRAM 2,WA-WFS-206,Wishram II,WA4566512100820110829,WISHRAMII, ,2011,8/29/2011 0:00:00,241,1030,9.000000000000000,Miscellaneous,8/30/2011 0:00:00,242,1500,11008.000000000000000,G,45.665555560000001,-121.011111110000002,13.000000000000000,STATE OR PRIVATE,WA, , , 
596,20024223,FS-1499341,FED,FS-FIRESTAT,FS,USCOGMF,Grand Mesa/Uncompahgre/Gunnison National Forest,0204,"Grand Mesa, Uncompahgre, & Gunnison National Forests",15, ,GA5L,JEEP,CO-GMF-000172,Jeep Fire, , , ,2011,7/19/2011 0:00:00,200,0930,1.000000000000000,Lightning,9/12/2011 0:00:00,255,1101,560.000000000000000,E,38.304722220000002,-108.287777779999999,5.000000000000000,USFS,CO, , , 
597,20024227,FS-1500917,FED,FS-FIRESTAT,FS,USCOGMF,Grand Mesa/Uncompahgre/Gunnison National Forest,0204,"Grand Mesa, Uncompahgre, & Gunnison National Forests",19, ,F9W9,BIG A,CO-GMF-196,Big A,CO3825210820820110803,BIGA, ,2011,8/3/2011 0:00:00,215,1442,1.000000000000000,Lightning,9/12/2011 0:00:00,255,1000,1012.000000000000000,F,38.252222220000000,-108.208055560000005,5.000000000000000,USFS,CO, , , 
598,20024247,FS-1495562,FED,FS-FIRESTAT,FS,USWYMBF,Medicine Bow National Forest,0206,Medicine Bow National Forest,909, ,F8FQ,BORGIALLI FIRE, , , , , ,2011,7/25/2011 0:00:00,206,1503,1.000000000000000,Lightning,7/25/2011 0:00:00,206,2000,758.580000000000041,E,43.729722219999999,-104.499722219999995,13.000000000000000,STATE OR PRIVATE,WY, , , 
599,20024249,FS-1495884,FED,FS-FIRESTAT,FS,USWYMBF,Medicine Bow National Forest,0206,Medicine Bow National Forest,919, ,F92P,COWGER FIRE, , , , , ,2011,7/27/2011 0:00:00,208,2100,1.000000000000000,Lightning,7/27/2011 0:00:00,208,2300,817.970000000000027,E,43.927222219999997,-104.551111109999994,5.000000000000000,USFS,WY, , , 
600,20024267,FS-1496121,FED,FS-FIRESTAT,FS,USWYMBF,Medicine Bow National Forest,0206,Medicine Bow National Forest,927, ,GAY9,87 FIRE, , , , , ,2011,8/15/2011 0:00:00,227,1600,1.000000000000000,Lightning,8/16/2011 0:00:00,228,1200,610.000000000000000,E,43.568888889999997,-104.486666670000005,13.000000000000000,STATE OR PRIVATE,WY, , , 
601,20025487,FS-1497472,FED,FS-FIRESTAT,FS,USAROUF,Ouachita National Forest,0809,Ouachita National Forest,63,63,F82W,HIGH PEAK,AR-OUF-011114,High Peak,AR3447309359820110729,HIGHPEAK, ,2011,7/29/2011 0:00:00,210,1300,1.000000000000000,Lightning,8/11/2011 0:00:00,223,1800,1535.000000000000000,F,34.472499999999997,-93.598333330000003,5.000000000000000,USFS,AR, , , 
602,20025498,FS-1497365,FED,FS-FIRESTAT,FS,USAROUF,Ouachita National Forest,0809,Ouachita National Forest,74,33,F9EK,BLUE BRANCH,AR-OUF-011129,Blue Branch,AR3485409486020110804,BLUEBRANCH, ,2011,8/4/2011 0:00:00,216,1200,7.000000000000000,Arson,8/5/2011 0:00:00,217,1800,1384.000000000000000,F,34.859444439999997,-94.851388889999996,5.000000000000000,USFS,OK, , , 
603,20025538,FS-1498313,FED,FS-FIRESTAT,FS,USAROUF,Ouachita National Forest,0809,Ouachita National Forest,113,113,GF88,CHRISOPHER MOUNTAIN,AR-OUF-011182,Christopher Mountain,AR3445509378920110914,BEECHCREEK, ,2011,9/14/2011 0:00:00,257,0700,1.000000000000000,Lightning,9/15/2011 0:00:00,258,1700,705.000000000000000,E,34.468611109999998,-93.788611110000005,5.000000000000000,USFS,AR, , , 
604,20025539,FS-1498320,FED,FS-FIRESTAT,FS,USAROUF,Ouachita National Forest,0809,Ouachita National Forest,114,114,GF89,BEECH CREEK,AR-OUF-011186,Beech Creek,AR3445509378920110914,BEECHCREEK, ,2011,9/14/2011 0:00:00,257,0700,1.000000000000000,Lightning,9/15/2011 0:00:00,258,1700,563.000000000000000,E,34.453055560000003,-93.786388889999998,13.000000000000000,STATE OR PRIVATE,AR, , , 
605,20026813,FS-1496511,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,38,38,F70G,LOOKOUT,NM-LNF-000038,Lookout Complex,NM3208610472220110720,LOOKOUTCOMPLEX,LOOKOUT COMPLEX,2011,7/20/2011 0:00:00,201,1413,1.000000000000000,Lightning,8/1/2011 0:00:00,213,1500,3825.000000000000000,F,32.085555560000003,-104.721666670000005,5.000000000000000,USFS,NM, , , 
606,20026814,FS-1496496,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,40,40,F71A,ACREY,NM-LNF-000038,Lookout Complex,NM3240310490220110720,ACREY,LOOKOUT COMPLEX,2011,7/20/2011 0:00:00,201,1820,1.000000000000000,Lightning,7/26/2011 0:00:00,207,1500,18835.400000000001455,G,32.403333330000002,-104.901666669999997,5.000000000000000,USFS,NM, , , 
607,20026831,FS-1496301,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,53,53,F9PZ,DINNER,NM-LNF-000053,Dinner,NM3212110468320110806,DINNER,DINNER COMPLEX,2011,8/6/2011 0:00:00,218,1530,1.000000000000000,Lightning,8/11/2011 0:00:00,223,1800,3100.000000000000000,F,32.120833330000004,-104.681944439999995,5.000000000000000,USFS,NM, , , 
608,201100569,W-618165,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,35, ,F0ZG,WEST,OK-OSA-011035,WEST,OK3663709626720110301,WEST, ,2011,3/1/2011 0:00:00,60,1421,7.000000000000000,Arson,3/8/2011 0:00:00,67,1200,1325.000000000000000,F,36.636899999999997,-96.266700000000000,2.000000000000000,BIA,OK, , , 
609,201100578,W-618320,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,44, ,F08D,KENTUCKY RAIN,OK-OSA-011-043,Kentucky Rain,OK3657909606820110311,KENTUCKYRAIN, ,2011,3/11/2011 0:00:00,70,1145,11.000000000000000,Powerline,3/15/2011 0:00:00,74,0830,2706.599999999999909,F,36.579200000000000,-96.067999999999998,8.000000000000000,PRIVATE,OK, , , 
610,201100584,W-618688,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,50, ,F1R6,WHITEHORN, , ,OK3654909629220110323,WHITEHORN, ,2011,3/23/2011 0:00:00,82,1223,5.000000000000000,Debris Burning,3/26/2011 0:00:00,85,1200,1924.000000000000000,F,36.549199999999999,-96.291700000000006,2.000000000000000,BIA,OK, , , 
611,201100585,W-619160,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,51, ,F1SE,GREYHORSE, , ,OK3652309664120110323,GREYHORSE, ,2011,3/23/2011 0:00:00,82,1416,5.000000000000000,Debris Burning,3/31/2011 0:00:00,90,0900,11382.000000000000000,G,36.523000000000003,-96.640799999999999,2.000000000000000,BIA,OK, , , 
612,201100592,W-619250,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,58, ,F16W,KELLEY, , ,OK3650909610120110401,KELLEY, ,2011,4/1/2011 0:00:00,91,0900,7.000000000000000,Arson,4/8/2011 0:00:00,98,1630,3861.000000000000000,F,36.509399999999999,-96.101399999999998,8.000000000000000,PRIVATE,OK, , , 
613,201100595,W-619254,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,61, ,F19V,WALLER, , ,OK3624809631420110402,WALLER, ,2011,4/2/2011 0:00:00,92,1630,9.000000000000000,Miscellaneous,4/5/2011 0:00:00,95,1900,1343.000000000000000,F,36.248300000000000,-96.313599999999994,2.000000000000000,BIA,OK, , , 
614,201100596,W-619255,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,62, ,F14G,HOLLOWAY, , ,OK3645709664920110412,UNNAMED, ,2011,4/2/2011 0:00:00,92,1710,9.000000000000000,Miscellaneous,4/6/2011 0:00:00,96,1330,879.000000000000000,E,36.469700000000003,-96.656099999999995,2.000000000000000,BIA,OK, , , 
615,201100599,W-619259,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,65, ,F16X,HICKEY, , ,OK3646309668420110403,HICKEY, ,2011,4/3/2011 0:00:00,93,1312,7.000000000000000,Arson,4/8/2011 0:00:00,98,2100,1482.000000000000000,F,36.462499999999999,-96.683599999999998,2.000000000000000,BIA,OK, , , 
616,201100613,W-619322,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,79, ,F2KM,BURNOUT, , , , , ,2011,4/14/2011 0:00:00,104,1356,7.000000000000000,Arson,4/16/2011 0:00:00,106,1200,505.000000000000000,E,36.658000000000001,-96.072999999999993,8.000000000000000,PRIVATE,OK, , , 
617,201100616,W-619325,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,82, ,F3DQ,BIG ELK, , , , , ,2011,4/11/2011 0:00:00,101,1302,9.000000000000000,Miscellaneous,4/16/2011 0:00:00,106,1200,625.000000000000000,E,36.616700000000002,-96.129199999999997,2.000000000000000,BIA,OK, , , 
618,201100636,W-625575,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,102, ,F9FZ,KOJAK,OK-OSA-011102,Kojak,OK3647709663720110804,KOJAK, ,2011,8/4/2011 0:00:00,216,1300,1.000000000000000,Lightning,8/8/2011 0:00:00,220,1200,925.000000000000000,E,36.476900000000001,-96.636899999999997,2.000000000000000,BIA,OK, , , 
619,201100639,W-625590,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,105, ,F9H1,TOOTHMAN 2,OK-OSA-011105,Toothman 2,OK3632609622320110805,TOOTHMAN2, ,2011,8/5/2011 0:00:00,217,1430,1.000000000000000,Lightning,8/13/2011 0:00:00,225,1200,2140.000000000000000,F,36.325800000000001,-96.222800000000007,2.000000000000000,BIA,OK, , , 
620,201100640,W-625591,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,106, ,F9SG,WILD HORSES, , ,OK3677809663120110807,WILDHORSES, ,2011,8/7/2011 0:00:00,219,1345,1.000000000000000,Lightning,8/10/2011 0:00:00,222,1200,1221.000000000000000,F,36.777999999999999,-96.631100000000004,8.000000000000000,PRIVATE,OK, , , 
621,20020232,FS-1493594,FED,FS-FIRESTAT,FS,USMOMTF,Mark Twain National Forest,0905,Mark Twain National Forest,58, ,F1VH,WAL;KER,MO-MTF-000058,Walker,MO3680009287920110323,WALKER, ,2011,3/24/2011 0:00:00,83,1115,7.000000000000000,Arson,3/24/2011 0:00:00,83,2100,733.000000000000000,E,36.806388890000001,-92.878333330000004,13.000000000000000,STATE OR PRIVATE,MO, , , 
622,20020236,FS-1493798,FED,FS-FIRESTAT,FS,USMOMTF,Mark Twain National Forest,0905,Mark Twain National Forest,64, ,F11F,BLAIR,MO-MTF-00064,Blair,MO3769509099720110403,BLAIR, ,2011,4/3/2011 0:00:00,93,1045,9.000000000000000,Miscellaneous,4/4/2011 0:00:00,94, ,644.029999999999973,E,37.695000000000000,-90.984722219999995,13.000000000000000,STATE OR PRIVATE,MO, , , 
623,20020237,FS-1493760,FED,FS-FIRESTAT,FS,USMOMTF,Mark Twain National Forest,0905,Mark Twain National Forest,67, ,F11A,75 FIRE,MO-MTF-00067,75,MO3765809115520110403,75, ,2011,4/3/2011 0:00:00,93,1240,2.000000000000000,Equipment Use,4/4/2011 0:00:00,94, ,522.000000000000000,E,37.657499999999999,-91.154722219999996,13.000000000000000,STATE OR PRIVATE,MO, , , 
624,20020240,FS-1493889,FED,FS-FIRESTAT,FS,USMOMTF,Mark Twain National Forest,0905,Mark Twain National Forest,68, ,F11B,FORT BALD,MO-MTF-00068,Fort Bald,MO3679409293620110403,FORTBALD, ,2011,4/3/2011 0:00:00,93,1245,7.000000000000000,Arson,4/4/2011 0:00:00,94, ,539.000000000000000,E,36.795833330000001,-92.930555560000002,5.000000000000000,USFS,MO, , , 
625,20020244,FS-1493735,FED,FS-FIRESTAT,FS,USMOMTF,Mark Twain National Forest,0905,Mark Twain National Forest,65, ,F11E,MUD POND,MO-MTF-00065,Mud Pond,MO3691809127620110403,MUDPOND, ,2011,4/3/2011 0:00:00,93,1203,7.000000000000000,Arson,4/7/2011 0:00:00,97, ,3521.000000000000000,F,36.917222219999999,-91.275833329999998,5.000000000000000,USFS,MO, , , 
626,20020253,FS-1493762,FED,FS-FIRESTAT,FS,USMOMTF,Mark Twain National Forest,0905,Mark Twain National Forest,81, ,EK3E,MARTIN 2,MO-MTF-00081,Martin 2,MO3703509125420110405,MARTIN2, ,2011,4/6/2011 0:00:00,96,1822,7.000000000000000,Arson,4/7/2011 0:00:00,97, ,911.000000000000000,E,37.035277780000001,-91.253888889999999,5.000000000000000,USFS,MO, , , 
627,20020275,FS-1501888,FED,FS-FIRESTAT,FS,USMOMTF,Mark Twain National Forest,0905,Mark Twain National Forest,105, ,GKH5,MINNINGHAW,MO-MTF-000105,Minninghaw,MO3747209133720111101,MINNINGHAW, ,2011,11/1/2011 0:00:00,305,1620,7.000000000000000,Arson,11/6/2011 0:00:00,310,1325,4761.000000000000000,F,37.472222219999999,-91.336944439999996,5.000000000000000,USFS,MO, , , 
628,20022963,FS-1496954,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,0505,Klamath National Forest,18,1,GCA4,ONION,CA-KNF-6061,Onion, , , ,2011,8/22/2011 0:00:00,234,0845,1.000000000000000,Lightning,9/12/2011 0:00:00,255,1600,560.000000000000000,E,41.135277780000003,-122.976666670000000,5.000000000000000,USFS,CA, , , 
629,20024292,FS-1498972,FED,FS-FIRESTAT,FS,USWYMBF,Medicine Bow National Forest,0206,Medicine Bow National Forest,951, ,GG5B,CARSON FIRE,WY-COX-11443,CARSON,WY4333510557820110924,CARSON, ,2011,9/24/2011 0:00:00,267,1430,2.000000000000000,Equipment Use,9/24/2011 0:00:00,267,2000,5670.000000000000000,G,43.338611110000002,-105.570277779999998,13.000000000000000,STATE OR PRIVATE,WY, , , 
630,20024323,FS-1495353,FED,FS-FIRESTAT,FS,USCOARF,Arapaho & Roosevelt National Forests/Pawnee National Grassland,0210,Arapaho & Roosevelt National For,10,1096,F1Y6,CRYSTAL,CO-LRX-1096,Crystal Fire,CO4053710538120110401,CRYSTALFIRE, ,2011,4/1/2011 0:00:00,91,2025,5.000000000000000,Debris Burning,4/20/2011 0:00:00,110, ,2939.000000000000000,F,40.537222219999997,-105.381111110000006,13.000000000000000,STATE OR PRIVATE,CO, , , 
631,20024327,FS-1493182,FED,FS-FIRESTAT,FS,USCOARF,Arapaho & Roosevelt National Forests/Pawnee National Grassland,0210,Arapaho & Roosevelt National For,2,1050,F0JK,SAND CREEK,CO-ARF-1050,Sand Creek, , , ,2011,2/13/2011 0:00:00,44,1340,9.000000000000000,Miscellaneous,2/14/2011 0:00:00,45,1130,820.000000000000000,E,40.694166670000001,-104.466666669999995,5.000000000000000,USFS,CO, , , 
632,20024332,FS-1500079,FED,FS-FIRESTAT,FS,USCOARF,Arapaho & Roosevelt National Forests/Pawnee National Grassland,0210,Arapaho & Roosevelt National For,7, ,F06X,LEFTHAND CANYON,CO-ARF-1072,Lefthand Canyon, , , ,2011,3/11/2011 0:00:00,70,1035,9.000000000000000,Miscellaneous,3/20/2011 0:00:00,79,1900,622.000000000000000,E,40.109999999999999,-105.328611109999997,5.000000000000000,USFS,CO, , , 
633,20026913,FS-1501773,FED,FS-FIRESTAT,FS,USNMSNF,Santa Fe National Forest,0310,Santa Fe National Forest,84,22,GGP6,GUACAMALLA,NM-SNF-430,Guacamalla,NM3572810657220110817,GUACAMALLA, ,2011,8/17/2011 0:00:00,229,1728,1.000000000000000,Lightning,10/24/2011 0:00:00,297,1300,1558.000000000000000,F,35.733611109999998,-106.574166669999997,5.000000000000000,USFS,NM, , , 
634,20026929,FS-1500168,FED,FS-FIRESTAT,FS,USNMSNF,Santa Fe National Forest,0310,Santa Fe National Forest,16,4,F5AR,PACHECO CANYON,NM-SNF-000198,PACHECO,NM3581210583720110618,PACHECO, ,2011,6/18/2011 0:00:00,169,1517,9.000000000000000,Miscellaneous,8/30/2011 0:00:00,242, ,10112.899999999999636,G,35.811944439999998,-105.836944439999996,5.000000000000000,USFS,NM, , , 
635,201100656,W-632684,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,125, ,GL27,PAC MAN,OK-OSA-011125,Pac Man,OK3633509654820111231,PACMAN, ,2011,12/31/2011 0:00:00,365,1500,7.000000000000000,Arson,1/12/2012 0:00:00,12,1800,4226.300000000000182,F,36.335000000000001,-96.548299999999998,2.000000000000000,BIA,OK, , , 
636,201100657,W-618201,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,1, ,F0HV,ALTON FIRE,OK-ECU-11-20042,Alton, , , ,2011,1/29/2011 0:00:00,29,1743,7.000000000000000,Arson,1/30/2011 0:00:00,30,0300,535.000000000000000,E,34.789999999999999,-95.598900000000000,8.000000000000000,PRIVATE,OK, , , 
637,201100658,W-618202,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,2, ,F01K,BLUE MOUNTAIN HILTON,OK-ECU-11-20082,Limestone Ridge, , , ,2011,3/4/2011 0:00:00,63,0829,7.000000000000000,Arson,3/4/2011 0:00:00,63,1900,650.000000000000000,E,34.787799999999997,-95.570800000000006,8.000000000000000,PRIVATE,OK, , , 
638,201100662,W-618280,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,6, ,F1E1,ROCK FIRE, , , , , ,2011,3/11/2011 0:00:00,70,1600,7.000000000000000,Arson,3/13/2011 0:00:00,72,0500,800.000000000000000,E,34.722799999999999,-95.340000000000003,8.000000000000000,PRIVATE,OK, , , 
639,201100664,W-622860,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,8, ,F1RS,KITCHEN SINK,OK-ECU-11-20191,Kitchen Sink,OK3460209569620110322,KITCHENSINK, ,2011,3/22/2011 0:00:00,81,1155,7.000000000000000,Arson,3/23/2011 0:00:00,82,0800,1500.000000000000000,F,34.608600000000003,-95.689400000000006,8.000000000000000,PRIVATE,OK, , , 
640,201100666,W-622877,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,10, ,F1UN,BOLEN HOLLOW, , , , , ,2011,3/24/2011 0:00:00,83,1640,7.000000000000000,Arson,3/25/2011 0:00:00,84,0900,600.000000000000000,E,34.673299999999998,-95.534999999999997,7.000000000000000,STATE,OK, , , 
641,201100674,W-622887,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,18, ,F2KL,SPLIT OAK,OK-SEU-11-10215,Split Oak, , , ,2011,4/12/2011 0:00:00,102,1645,7.000000000000000,Arson,4/13/2011 0:00:00,103,0800,543.000000000000000,E,34.622799999999998,-95.508899999999997,8.000000000000000,PRIVATE,OK, , , 
642,201100676,W-623446,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,20, ,F3Q3,EC20117,OK-ECU-11-20117,Enlow, , , ,2011,3/11/2011 0:00:00,70,1535,7.000000000000000,Arson,3/11/2011 0:00:00,70,2045,600.000000000000000,E,34.773600000000002,-95.710800000000006,2.000000000000000,BIA,OK, , , 
643,201100677,W-623448,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,21, ,F3Q5,EC20129,OK-ECU-11-20129,Rock Creek, , , ,2011,3/12/2011 0:00:00,71,1420,7.000000000000000,Arson,3/13/2011 0:00:00,72,0100,600.000000000000000,E,35.082799999999999,-95.278599999999997,2.000000000000000,BIA,OK, , , 
644,201100678,W-623451,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,22, ,F3Q6,EC20146,OK-ECU-11-20146,Brother InLaw, , , ,2011,3/17/2011 0:00:00,76,1231,7.000000000000000,Arson,3/17/2011 0:00:00,76,2000,840.000000000000000,E,34.683599999999998,-95.768100000000004,2.000000000000000,BIA,OK, , , 
645,201100683,W-623296,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,27, ,F8NA,PARKER MOUNTIAN FIRE,OK-SEU-11-10358,Parker Mountain Fire, , , ,2011,7/27/2011 0:00:00,208,1531,2.000000000000000,Equipment Use,7/28/2011 0:00:00,209,0020,600.000000000000000,E,34.321399999999997,-95.666399999999996,2.000000000000000,BIA,OK, , , 
646,201100685,W-628579,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,29, ,F9C0,OVERPASS,OK-ECU-11-20388,Overpass, , , ,2011,8/3/2011 0:00:00,215,1620,7.000000000000000,Arson,8/7/2011 0:00:00,219,1900,500.000000000000000,E,34.788300000000000,-95.775499999999994,8.000000000000000,PRIVATE,OK, , , 
647,20020362,FS-1502944,FED,FS-FIRESTAT,FS,USMNSUF,Superior National Forest,0909,Superior National Forest,24, ,GC1K,PAGAMI CREEK,MN-SUF-110519,Pagami Creek,MN4790609152420110817,PAGAMICREEK, ,2011,8/18/2011 0:00:00,230,1558,1.000000000000000,Lightning,11/28/2011 0:00:00,332,1800,92682.000000000000000,G,47.905555560000003,-91.524166670000000,5.000000000000000,USFS,MN, , , 
648,20021675,FS-1499620,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,13, ,GDN6,OTTER,ID-NPF-000242,Otter,ID4603811522020110802,OTTER, ,2011,8/2/2011 0:00:00,214,0924,1.000000000000000,Lightning,,0, ,4609.000000000000000,F,46.038333330000000,-115.219722219999994,5.000000000000000,USFS,ID, , , 
649,20021683,FS-1499399,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,23, ,GB1W,EAST FORK,ID-NPF-305,East Fork,ID4583511503020110805,EASTFORK, ,2011,8/10/2011 0:00:00,222,1200,1.000000000000000,Lightning,,0, ,10000.000000000000000,G,45.845555560000001,-115.030000000000001,5.000000000000000,USFS,ID, , , 
650,20023030,FS-1497611,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,2,181,F4RX,MDF DH COUGAR,CA-MDF-0000181,COUGAR,CA4165512145820110608,COUGAR, ,2011,6/8/2011 0:00:00,159,1250,4.000000000000000,Campfire,6/20/2011 0:00:00,171,1800,1800.000000000000000,F,41.655000000000001,-121.457777780000001,5.000000000000000,USFS,CA, , , 
651,20023033,FS-1497848,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,3,324,F7KH,MDF DH SCORPION,CA-MDF-000324,SCORPION COMPLEX,CA4180512136320110715,SCORPIONCOMPLEX,SCORPION COMPLEX,2011,7/15/2011 0:00:00,196,1835,6.000000000000000,Railroad,7/23/2011 0:00:00,204,2000,1418.000000000000000,F,41.805000000000000,-121.362777780000002,5.000000000000000,USFS,CA, , , 
